tab,name,department,division,value,units,major,prereqs
Atmospheric and Oceanic,A&O Sci 51,A&O Sci,Physical Sciences,Lower Div (0-99),4,AOS,
Atmospheric and Oceanic,A&O Sci 90,A&O Sci,Physical Sciences,Lower Div (0-99),4,AOS,
Atmospheric and Oceanic,A&O Sci M71,A&O Sci,Physical Sciences,Lower Div (0-99),4,AOS,
Atmospheric and Oceanic,Chem 14A/20A,Chem,Physical Sciences,Lower Div (0-99),4,AOS,
Atmospheric and Oceanic,Chem 14B/20B,Chem,Physical Sciences,Lower Div (0-99),4,AOS,
Atmospheric and Oceanic,Math 31A,Math,Physical Sciences,Lower Div (0-99),4,AOS,
Atmospheric and Oceanic,Math 31B,Math,Physical Sciences,Lower Div (0-99),4,AOS,Math 31A
Atmospheric and Oceanic,Math 32A,Math,Physical Sciences,Lower Div (0-99),4,AOS,Math 31A
Atmospheric and Oceanic,Math 32B,Math,Physical Sciences,Lower Div (0-99),4,AOS,"Math 31B, Math 32A"
Atmospheric and Oceanic,Math 33A,Math,Physical Sciences,Lower Div (0-99),4,AOS,"Math 31B, Math 32A"
Atmospheric and Oceanic,Math 33B,Math,Physical Sciences,Lower Div (0-99),4,AOS,Math 33A
Atmospheric and Oceanic,Physics 1A/1AH/5A,Physics,Physical Sciences,Lower Div (0-99),5,AOS,
Atmospheric and Oceanic,Physics 1B/1BH/5B,Physics,Physical Sciences,Lower Div (0-99),5,AOS,
Atmospheric and Oceanic,Physics 1C/1CH/5C,Physics,Physical Sciences,Lower Div (0-99),5,AOS,
Atmospheric and Oceanic,A&O Sci elective 1,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,A&O Sci elective 2,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,A&O Sci elective 3,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,A&O Sci elective 4,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,Advised course 1,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,Advised course 2,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,Advised course 3,A&O Sci,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,Upper Div elective 1,Varied,Physical Sciences,Upper Div (100-199),4,AOS,
Atmospheric and Oceanic,Upper Div elective 2,Varied,Physical Sciences,Upper Div (100-199),4,AOS,
Chemistry/Biochemistry,Chem 20A,Chem,Physical Sciences,Lower Div (0-99),4,Biochem,
Chemistry/Biochemistry,Chem 20B,Chem,Physical Sciences,Lower Div (0-99),4,Biochem,
Chemistry/Biochemistry,Chem 20L,Chem,Physical Sciences,Lower Div (0-99),3,Biochem,
Chemistry/Biochemistry,Chem 30AL,Chem,Physical Sciences,Lower Div (0-99),4,Biochem,
Chemistry/Biochemistry,Chem 30A,Chem,Physical Sciences,Lower Div (0-99),4,Biochem,
Chemistry/Biochemistry,Chem 30B,Chem,Physical Sciences,Lower Div (0-99),4,Biochem,
Chemistry/Biochemistry,Chem 30BL,Chem,Physical Sciences,Lower Div (0-99),3,Biochem,
Chemistry/Biochemistry,Chem 30C,Chem,Physical Sciences,Lower Div (0-99),4,Biochem,
